name,doi,ModellingCenter,Project,Experiment,GCM,RCM,Run,resX-atmos,resY-atmos,SoftwareVersion,SimulationDomain
CMIP5_CCCMA-CANESM2_historical,http://dx.doi.org/10.1594/WDCC/CMIP5.CCE2hi,CCCma,CMIP5,Historical,CanESM2,,r1i1p1,2.7906,2.8125,,
CMIP5_CCCMA-CANESM2_rcp45,http://dx.doi.org/10.1594/WDCC/CMIP5.CCE2r4,CCCma,CMIP5,RCP45,CanESM2,,r1i1p1,2.7906,2.8125,,
CMIP5_CCCMA-CANESM2_rcp85,http://dx.doi.org/10.1594/WDCC/CMIP5.CCE2r8,CCCma,CMIP5,RCP85,CanESM2,,r1i1p1,2.7906,2.8125,,
CMIP5_CNRM-CERFACS-CNRM-CM5_historical,http://dx.doi.org/10.1594/WDCC/CMIP5.CEC5hi,CNRM-/-CERFACS,CMIP5,Historical,CNRM-CM5,,r1i1p1,1.4008,1.40625,,
CMIP5_CNRM-CERFACS-CNRM-CM5_rcp45,http://dx.doi.org/10.1594/WDCC/CMIP5.CEC5r4,CNRM-/-CERFACS,CMIP5,RCP45,CNRM-CM5,,r1i1p1,1.4008,1.40625,,
CMIP5_CNRM-CERFACS-CNRM-CM5_rcp85,http://dx.doi.org/10.1594/WDCC/CMIP5.CEC5r8,CNRM-/-CERFACS,CMIP5,RCP85,CNRM-CM5,,r1i1p1,1.4008,1.40625,,
CMIP5_IPSL-CM5A-MR_historical,http://dx.doi.org/10.1594/WDCC/CMIP5.IPIMhi,IPSL,CMIP5,Historical,CM5A-MR,,r1i1p1,1.2676,2.5,,
CMIP5_IPSL-CM5A-MR_rcp45,http://dx.doi.org/10.1594/WDCC/CMIP5.IPIMr4,IPSL,CMIP5,RCP45,CM5A-MR,,r1i1p1,1.2676,2.5,,
CMIP5_IPSL-CM5A-MR_rcp85,http://dx.doi.org/10.1594/WDCC/CMIP5.IPIMr8,IPSL,CMIP5,RCP85,CM5A-MR,,r1i1p1,1.2676,2.5,,
CMIP5_MIROC-ESM_historical,http://dx.doi.org/10.1594/WDCC/CMIP5.MIMEhi,JAMSTEC,CMIP5,Historical,MIROC-ESM,,r1i1p1,2.7906,2.8125,,
CMIP5_MIROC-ESM_rcp45,http://dx.doi.org/10.1594/WDCC/CMIP5.MIMEr4,JAMSTEC,CMIP5,RCP45,MIROC-ESM,,r1i1p1,2.7906,2.8125,,
CMIP5_MIROC-ESM_rcp85,http://dx.doi.org/10.1594/WDCC/CMIP5.MIMEr8,JAMSTEC,CMIP5,RCP85,MIROC-ESM,,r1i1p1,2.7906,2.8125,,
CMIP5_NOAA-GFDL-ESM2M_historical,http://dx.doi.org/10.1594/WDCC/CMIP5.NGEMhi,NOAA-GFDL,CMIP5,Historical,GFDL-ESM2M,,r1i1p1,2.0225,2.5,,
CMIP5_NOAA-GFDL-ESM2M_rcp45,http://dx.doi.org/10.1594/WDCC/CMIP5.NGEMr4,NOAA-GFDL,CMIP5,RCP45,GFDL-ESM2M,,r1i1p1,2.0225,2.5,,
CMIP5_NOAA-GFDL-ESM2M_rcp85,http://dx.doi.org/10.1594/WDCC/CMIP5.NGEMr8,NOAA-GFDL,CMIP5,RCP85,GFDL-ESM2M,,r1i1p1,2.0225,2.5,,
CMIP5_MPI-ESM-LR_historical,http://dx.doi.org/10.1594/WDCC/CMIP5.MXELhi,MPI-M,CMIP5,Historical,MPI-ESM-LR,,r1i1p1,1.8653,1.875,,
CMIP5_MPI-ESM-LR_rcp45,http://dx.doi.org/10.1594/WDCC/CMIP5.MXELr4,MPI-M,CMIP5,RCP45,MPI-ESM-LR,,r1i1p1,1.8653,1.875,,
CMIP5_MPI-ESM-LR_rcp85,http://dx.doi.org/10.1594/WDCC/CMIP5.MXELr8,MPI-M,CMIP5,RCP85,MPI-ESM-LR,,r1i1p1,1.8653,1.875,,
CMIP5_MOHC-HADGEM2-ES_historical,http://dx.doi.org/10.1594/WDCC/CMIP5.MOGEhi,MOHC,CMIP5,Historical,HADGEM2-ES,,r2i1p1,1.25,1.875,,
CMIP5_MOHC-HADGEM2-ES_rcp45,http://dx.doi.org/10.1594/WDCC/CMIP5.MOGEr4,MOHC,CMIP5,RCP45,HADGEM2-ES,,r2i1p1,1.25,1.875,,
CMIP5_MOHC-HADGEM2-ES_rcp85,http://dx.doi.org/10.1594/WDCC/CMIP5.MOGEr8,MOHC,CMIP5,RCP85,HADGEM2-ES,,r2i1p1,1.25,1.875,,
CMIP5_EC-EARTH_r12i1p1_historical,http://cera-www.dkrz.de/WDCC/CMIP5/Compact.jsp?acronym=IHEChi,EC-EARTH-Consortium,CMIP5,Historical,EC-EARTH,,r12i1p1,1.1215,1.125,,
CMIP5_EC-EARTH_r12i1p1_rcp45,http://cera-www.dkrz.de/WDCC/CMIP5/Compact.jsp?acronym=IHECr4,EC-EARTH-Consortium,CMIP5,RCP45,EC-EARTH,,r12i1p1,1.1215,1.125,,
CMIP5_EC-EARTH_r12i1p1_rcp85,http://cera-www.dkrz.de/WDCC/CMIP5/Compact.jsp?acronym=IHECr8,EC-EARTH-Consortium,CMIP5,RCP85,EC-EARTH,,r12i1p1,1.1215,1.125,,
# CMIP5_EC-EARTH_r1i1p1_historical,,EC-EARTH-Consortium,CMIP5,Historical,EC-EARTH,,r1i1p1,1.1215,1.125,,
# CMIP5_EC-EARTH_r1i1p1_rcp45,,EC-EARTH-Consortium,CMIP5,RCP45,EC-EARTH,,r1i1p1,1.1215,1.125,,
# CMIP5_EC-EARTH_r1i1p1_rcp85,,EC-EARTH-Consortium,CMIP5,RCP85,EC-EARTH,,r1i1p1,1.1215,1.125,,
